Comparing
CDEF=,OmniMech,Primitive,EliteMech,PrototypeMech,ProtoMech,SLDFMech,HeroMech,ClanMech,SocietyMech,
MDEF=,,unit_primitive,unit_elite,unit_prototype,unit_protomech,unit_sldf,unit_hero,,,unit_legendary
===================,headerlines,4
|CONFLICT| ,CDef // MDef, || ,Missing Tag, |Missing in| ,file
CONFLICT ,PrototypeMech // unit_prototype, || ,PrototypeMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_cheetah_ACH-A.json
CONFLICT ,ProtoMech // unit_protomech, || ,ProtoMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_cheetah_ACH-A.json
CONFLICT ,SLDFMech // unit_sldf, || ,SLDFMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_cheetah_ACH-A.json
CONFLICT ,HeroMech // unit_hero, || ,HeroMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_cheetah_ACH-A.json
CONFLICT ,Primitive // unit_primitive, || ,Primitive, Missing in ,\Base 3061\chassis\chassisdef_arctic_cheetah_ACH-B.json
CONFLICT ,EliteMech // unit_elite, || ,EliteMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_cheetah_ACH-B.json
CONFLICT ,PrototypeMech // unit_prototype, || ,PrototypeMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_cheetah_ACH-B.json
CONFLICT ,ProtoMech // unit_protomech, || ,ProtoMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_cheetah_ACH-B.json
CONFLICT ,SLDFMech // unit_sldf, || ,SLDFMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_cheetah_ACH-B.json
CONFLICT ,HeroMech // unit_hero, || ,HeroMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_cheetah_ACH-B.json
CONFLICT ,Primitive // unit_primitive, || ,Primitive, Missing in ,\Base 3061\chassis\chassisdef_arctic_cheetah_ACH-C.json
CONFLICT ,EliteMech // unit_elite, || ,EliteMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_cheetah_ACH-C.json
CONFLICT ,PrototypeMech // unit_prototype, || ,PrototypeMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_cheetah_ACH-C.json
